Index,Częstość,Spanko
0,10,7
1,16,3
2,35,3
3,40,7
4,20,6
5,13,3
6,4,4
7,7,7
8,25,5
9,30,4
0,25,5
2,4,5
4,35,7
6,13,7
8,20,4
10,16,7
12,10,3
14,7,7
16,30,5
18,40,5
0,20,7
3,25,5
6,7,3
9,4,3
12,40,4
15,10,4
18,16,7
21,13,7
24,35,3
27,30,4
0,25,4
4,16,7
8,30,5
12,13,4
16,20,4
20,35,7
24,40,6
28,7,5
32,4,3
36,10,6
0,7,3
5,13,4
10,16,7
15,4,5
20,30,4
25,10,7
30,20,4
35,35,5
40,25,4
45,40,7
0,7,4
6,25,5
12,10,7
18,35,6
24,40,6
30,4,6
36,13,3
42,30,7
48,16,3
54,20,5
0,4,6
7,30,3
14,7,3
21,16,6
28,25,6
35,20,6
42,10,5
49,35,4
56,13,4
63,40,5
0,20,3
8,25,6
16,7,7
24,13,5
32,10,3
40,4,5
48,40,7
56,16,6
64,30,7
72,35,4
0,4,5
9,10,7
18,40,6
27,16,5
36,20,7
45,35,3
54,30,5
63,25,4
72,13,6
81,7,4
0,4,4
10,40,5
20,7,7
30,20,4
40,10,7
50,16,5
60,25,5
70,13,7
80,30,7
90,35,6
0,35,4
11,16,4
22,7,3
33,4,7
44,30,3
55,20,3
66,25,3
77,40,6
88,10,6
99,13,7
0,40,6
12,35,6
24,13,3
36,10,4
48,7,5
60,4,5
72,20,3
84,25,3
96,30,3
108,16,4
0,7,6
13,4,7
26,16,6
39,40,3
52,35,6
65,30,5
78,13,7
91,25,6
104,10,3
117,20,3
0,25,6
14,4,7
28,7,5
42,20,3
56,35,6
70,16,6
84,40,5
98,30,7
112,13,5
126,10,7
0,16,4
15,40,7
30,20,7
45,4,6
60,30,7
75,10,5
90,25,5
105,13,6
120,7,4
135,35,7
